"i","N","p_hat"
0,1948964,0.362593771011386
1,892534,0.166050921831227
2,536659,0.0998423832134401
3,352075,0.0655015700284015
4,247596,0.0460638407519764
5,183576,0.0341532804644858
6,141108,0.0262523483450051
7,112399,0.0209112006521971
8,91242,0.0169750600086101
9,75438,0.0140348148542287
10,64010,0.0119086998438344
11,54539,0.0101466736569736
12,46949,0.00873459692185876
13,40838,0.00759767980350738
14,35656,0.00663359790082421
15,32214,0.00599323319433339
16,28653,0.00533072920833285
17,25782,0.00479659583461549
18,23135,0.00430413639879875
19,20821,0.00387362973673606
20,19295,0.00358972603478806
21,17605,0.00327531105687711
22,16312,0.00303475569212039
23,14884,0.00276908433800392
24,13831,0.00257317962099786
25,12704,0.00236350762093535
26,11910,0.00221578839462689
27,11049,0.00205560419582137
28,10532,0.00195941925879181
29,9702,0.00180500243532075
30,8934,0.00166212036251861
31,8711,0.00162063246898361
32,8262,0.00153709854881674
33,7553,0.00140519309358664
34,7252,0.00134919373953268
35,6792,0.0012636133313439
36,6603,0.00122845094624025
37,6033,0.00112240565783241
38,5928,0.00110287099944149
39,5635,0.00104836000031255
40,5292,0.000984546782902225
41,5209,0.000969105100555119
42,4814,0.000895617576132145
43,4595,0.000854873860059661
44,4380,0.000814874321449687
45,4249,0.000790502509552448
46,4040,0.000751619237136241
47,3923,0.000729852046357791
48,3675,0.000683713043682101
49,3609,0.000671434115550667
50,3406,0.000633667109328227
51,3258,0.000606132543215316
52,3111,0.000578784021468031
53,2978,0.000554040120839536
54,3031,0.000563900472217809
55,2907,0.000540830970879964
56,2776,0.000516459158982724
57,2569,0.000477947975297773
58,2524,0.000469575978844523
59,2477,0.000460831893660017
60,2427,0.000451529675378628
61,2246,0.0004178556452
62,2253,0.000419157955759394
63,2247,0.000418041689565627
64,2188,0.000407065071993588
65,2042,0.000379902594611932
66,1937,0.000360367936221015
67,1958,0.000364274867899198
68,1884,0.000350507584842742
69,1855,0.000345112298239537
70,1816,0.000337856567980053
71,1732,0.000322228841267319
72,1676,0.000311810356792164
73,1537,0.000285950189969902
74,1549,0.000288182722357435
75,1575,0.000293019875863757
76,1399,0.000260276067513268
77,1511,0.000281113036463579
78,1391,0.000258787712588245
79,1378,0.000256369135835084
80,1347,0.000250601760500623
81,1352,0.000251531982328762
82,1226,0.000228090392259661
83,1227,0.000228276436625289
84,1180,0.000219532351440783
85,1195,0.0002223230169252
86,1130,0.000210230133159394
87,1147,0.000213392887375067
88,1100,0.000204648802190561
89,1151,0.000214137064837578
90,1102,0.000205020890921816
91,1063,0.000197765160662333
92,1095,0.000203718580362422
93,1063,0.000197765160662333
94,974,0.00018120721212146
95,974,0.00018120721212146
96,950,0.000176742147346393
97,976,0.000181579300852716
98,895,0.000166509707236865
99,876,0.000162974864289937
100,865,0.000160928376268032
101,807,0.00015013780306162
102,823,0.000153114512911665
103,801,0.000149021536867854
104,825,0.000153486601642921
105,789,0.00014678900448032
106,787,0.000146416915749065
107,751,0.000139719318586465
108,770,0.000143254161533393
109,749,0.000139347229855209
110,789,0.00014678900448032
111,720,0.000133951943252003
112,692,0.000128742701014426
113,724,0.000134696120714515
114,658,0.000122417192583081
115,688,0.000127998523551914
116,613,0.000114045196129831
117,671,0.000124835769336242
118,687,0.000127812479186287
119,575,0.000106975510235975
120,627,0.00011664981724862
121,627,0.00011664981724862
122,618,0.00011497541795797
123,573,0.000106603421504719
124,592,0.000110138264451647
125,557,0.000103626711654675
126,586,0.000109021998257881
127,555,0.000103254622923419
128,591,0.000109952220086019
129,525,9.76732919545858e-05
130,529,9.8417469417097e-05
131,510,9.48826264701691e-05
132,534,9.93476912452359e-05
133,534,9.93476912452359e-05
134,492,9.1533827888869e-05
135,514,9.56268039326802e-05
136,473,8.79989849419411e-05
137,490,9.11617391576134e-05
138,511,9.50686708357969e-05
139,455,8.46501863606411e-05
140,453,8.42780976293855e-05
141,459,8.53943638231522e-05
142,430,7.99990772199465e-05
143,442,8.22316096074799e-05
144,478,8.89292067700801e-05
145,392,7.29293913260907e-05
146,422,7.85107222949242e-05
147,398,7.40456575198574e-05
148,409,7.60921455417631e-05
149,421,7.83246779292964e-05
150,406,7.55340124448797e-05
151,377,7.0138725841674e-05
152,377,7.0138725841674e-05
153,386,7.18131251323241e-05
154,396,7.36735687886019e-05
155,384,7.14410364010685e-05
156,353,6.56736610666072e-05
157,367,6.82782821853962e-05
158,374,6.95805927447907e-05
159,358,6.66038828947461e-05
160,374,6.95805927447907e-05
161,316,5.87900195383793e-05
162,330,6.13946406571682e-05
163,355,6.60457497978628e-05
164,371,6.90224596479073e-05
165,322,5.9906285732146e-05
166,329,6.12085962915405e-05
167,325,6.04644188290293e-05
168,314,5.84179308071237e-05
169,350,6.51155279697239e-05
170,310,5.76737533446126e-05
171,326,6.06504631946571e-05
172,297,5.52551765914514e-05
173,304,5.65574871508459e-05
174,320,5.95341970008904e-05
175,288,5.35807773008014e-05
176,287,5.33947329351736e-05
177,288,5.35807773008014e-05
178,244,4.53948252131789e-05
179,263,4.89296681601068e-05
180,240,4.46506477506678e-05
181,269,5.00459343538735e-05
182,273,5.07901118163846e-05
183,269,5.00459343538735e-05
184,250,4.65110914069456e-05
185,261,4.85575794288512e-05
186,234,4.35343815569011e-05
187,249,4.63250470413179e-05
188,280,5.20924223757791e-05
189,252,4.68831801382012e-05
190,266,4.94878012569901e-05
191,272,5.06040674507568e-05
192,240,4.46506477506678e-05
193,244,4.53948252131789e-05
194,262,4.8743623794479e-05
195,207,3.8511183684951e-05
196,244,4.53948252131789e-05
197,246,4.57669139444345e-05
198,189,3.51623851036509e-05
199,232,4.31622928256455e-05
200,223,4.14878935349955e-05
201,233,4.33483371912733e-05
202,224,4.16739379006233e-05
203,200,3.72088731255565e-05
204,240,4.46506477506678e-05
205,210,3.90693167818343e-05
206,237,4.40925146537845e-05
207,197,3.66507400286732e-05
208,203,3.77670062224399e-05
209,220,4.09297604381122e-05
210,217,4.03716273412288e-05
211,208,3.86972280505788e-05
212,190,3.53484294692787e-05
213,202,3.75809618568121e-05
214,193,3.5906562566162e-05
215,185,3.44182076411398e-05
216,207,3.8511183684951e-05
217,189,3.51623851036509e-05
