"i","N","p_hat"
306,6,0.000401660195474628
307,6,0.000401660195474628
308,4,0.000267773463649752
309,6,0.000401660195474628
310,6,0.000401660195474628
311,7,0.000468603561387067
312,5,0.00033471682956219
313,2,0.000133886731824876
314,13,0.000870263756861695
315,8,0.000535546927299505
316,7,0.000468603561387067
317,7,0.000468603561387067
318,4,0.000267773463649752
319,8,0.000535546927299505
320,6,0.000401660195474628
321,6,0.000401660195474628
322,4,0.000267773463649752
323,7,0.000468603561387067
324,7,0.000468603561387067
325,6,0.000401660195474628
326,2,0.000133886731824876
327,7,0.000468603561387067
328,7,0.000468603561387067
329,9,0.000602490293211943
330,6,0.000401660195474628
331,7,0.000468603561387067
332,4,0.000267773463649752
333,4,0.000267773463649752
334,8,0.000535546927299505
335,5,0.00033471682956219
336,4,0.000267773463649752
337,5,0.00033471682956219
338,5,0.00033471682956219
339,2,0.000133886731824876
340,7,0.000468603561387067
341,3,0.000200830097737314
342,9,0.000602490293211943
343,3,0.000200830097737314
344,1,6.69433659124381e-05
345,4,0.000267773463649752
346,5,0.00033471682956219
347,1,6.69433659124381e-05
348,1,6.69433659124381e-05
349,8,0.000535546927299505
350,6,0.000401660195474628
351,4,0.000267773463649752
352,4,0.000267773463649752
353,7,0.000468603561387067
354,6,0.000401660195474628
355,6,0.000401660195474628
356,4,0.000267773463649752
357,2,0.000133886731824876
358,9,0.000602490293211943
359,8,0.000535546927299505
360,9,0.000602490293211943
361,5,0.00033471682956219
362,7,0.000468603561387067
363,6,0.000401660195474628
364,4,0.000267773463649752
365,4,0.000267773463649752
366,6,0.000401660195474628
367,6,0.000401660195474628
368,6,0.000401660195474628
369,2,0.000133886731824876
370,2,0.000133886731824876
371,2,0.000133886731824876
372,9,0.000602490293211943
373,7,0.000468603561387067
374,8,0.000535546927299505
375,6,0.000401660195474628
376,6,0.000401660195474628
377,5,0.00033471682956219
378,4,0.000267773463649752
379,5,0.00033471682956219
380,8,0.000535546927299505
381,6,0.000401660195474628
382,4,0.000267773463649752
383,4,0.000267773463649752
384,6,0.000401660195474628
385,7,0.000468603561387067
386,6,0.000401660195474628
387,7,0.000468603561387067
388,5,0.00033471682956219
389,5,0.00033471682956219
390,7,0.000468603561387067
391,7,0.000468603561387067
392,10,0.000669433659124381
393,6,0.000401660195474628
394,5,0.00033471682956219
395,7,0.000468603561387067
396,5,0.00033471682956219
397,5,0.00033471682956219
398,4,0.000267773463649752
399,3,0.000200830097737314
400,2,0.000133886731824876
401,7,0.000468603561387067
402,7,0.000468603561387067
403,6,0.000401660195474628
404,3,0.000200830097737314
405,5,0.00033471682956219
406,7,0.000468603561387067
407,7,0.000468603561387067
408,4,0.000267773463649752
409,10,0.000669433659124381
410,4,0.000267773463649752
411,11,0.000736377025036819
412,8,0.000535546927299505
413,6,0.000401660195474628
414,5,0.00033471682956219
415,5,0.00033471682956219
416,8,0.000535546927299505
417,5,0.00033471682956219
418,4,0.000267773463649752
419,9,0.000602490293211943
420,7,0.000468603561387067
421,8,0.000535546927299505
422,6,0.000401660195474628
423,6,0.000401660195474628
424,5,0.00033471682956219
425,9,0.000602490293211943
426,8,0.000535546927299505
427,6,0.000401660195474628
428,7,0.000468603561387067
429,8,0.000535546927299505
430,7,0.000468603561387067
431,4,0.000267773463649752
432,7,0.000468603561387067
433,7,0.000468603561387067
434,3,0.000200830097737314
435,4,0.000267773463649752
436,3,0.000200830097737314
437,4,0.000267773463649752
438,9,0.000602490293211943
439,4,0.000267773463649752
440,5,0.00033471682956219
441,8,0.000535546927299505
442,5,0.00033471682956219
443,9,0.000602490293211943
444,4,0.000267773463649752
445,5,0.00033471682956219
446,6,0.000401660195474628
447,7,0.000468603561387067
448,4,0.000267773463649752
449,5,0.00033471682956219
450,1,6.69433659124381e-05
451,2,0.000133886731824876
452,6,0.000401660195474628
453,6,0.000401660195474628
454,6,0.000401660195474628
455,4,0.000267773463649752
456,6,0.000401660195474628
457,4,0.000267773463649752
458,5,0.00033471682956219
459,8,0.000535546927299505
460,5,0.00033471682956219
461,9,0.000602490293211943
462,10,0.000669433659124381
463,3,0.000200830097737314
464,5,0.00033471682956219
465,5,0.00033471682956219
466,8,0.000535546927299505
467,4,0.000267773463649752
468,5,0.00033471682956219
469,9,0.000602490293211943
470,8,0.000535546927299505
471,7,0.000468603561387067
472,9,0.000602490293211943
473,7,0.000468603561387067
474,1,6.69433659124381e-05
475,5,0.00033471682956219
476,2,0.000133886731824876
477,3,0.000200830097737314
478,3,0.000200830097737314
479,6,0.000401660195474628
480,5,0.00033471682956219
481,4,0.000267773463649752
482,9,0.000602490293211943
483,2,0.000133886731824876
484,6,0.000401660195474628
485,7,0.000468603561387067
486,5,0.00033471682956219
487,5,0.00033471682956219
488,6,0.000401660195474628
489,11,0.000736377025036819
490,9,0.000602490293211943
491,5,0.00033471682956219
492,7,0.000468603561387067
493,5,0.00033471682956219
494,4,0.000267773463649752
495,7,0.000468603561387067
496,6,0.000401660195474628
497,3,0.000200830097737314
498,5,0.00033471682956219
499,4,0.000267773463649752
500,6,0.000401660195474628
501,4,0.000267773463649752
502,14,0.000937207122774133
503,7,0.000468603561387067
504,7,0.000468603561387067
505,7,0.000468603561387067
506,8,0.000535546927299505
507,7,0.000468603561387067
508,2,0.000133886731824876
509,4,0.000267773463649752
510,6,0.000401660195474628
511,5,0.00033471682956219
512,6,0.000401660195474628
513,9,0.000602490293211943
514,3,0.000200830097737314
515,5,0.00033471682956219
516,7,0.000468603561387067
517,10,0.000669433659124381
518,8,0.000535546927299505
519,6,0.000401660195474628
520,6,0.000401660195474628
521,9,0.000602490293211943
522,4,0.000267773463649752
523,7,0.000468603561387067
524,11,0.000736377025036819
525,7,0.000468603561387067
526,7,0.000468603561387067
527,6,0.000401660195474628
528,8,0.000535546927299505
529,10,0.000669433659124381
530,5,0.00033471682956219
531,1,6.69433659124381e-05
532,3,0.000200830097737314
533,1,6.69433659124381e-05
534,3,0.000200830097737314
535,5,0.00033471682956219
536,5,0.00033471682956219
537,6,0.000401660195474628
538,5,0.00033471682956219
539,5,0.00033471682956219
540,5,0.00033471682956219
541,11,0.000736377025036819
542,6,0.000401660195474628
543,7,0.000468603561387067
544,5,0.00033471682956219
545,3,0.000200830097737314
546,2,0.000133886731824876
547,4,0.000267773463649752
548,4,0.000267773463649752
549,9,0.000602490293211943
550,8,0.000535546927299505
551,6,0.000401660195474628
552,3,0.000200830097737314
553,4,0.000267773463649752
554,4,0.000267773463649752
555,6,0.000401660195474628
556,5,0.00033471682956219
557,6,0.000401660195474628
558,10,0.000669433659124381
559,3,0.000200830097737314
560,5,0.00033471682956219
561,3,0.000200830097737314
562,4,0.000267773463649752
563,4,0.000267773463649752
564,5,0.00033471682956219
565,4,0.000267773463649752
566,6,0.000401660195474628
567,6,0.000401660195474628
568,4,0.000267773463649752
569,7,0.000468603561387067
570,10,0.000669433659124381
571,6,0.000401660195474628
572,9,0.000602490293211943
573,9,0.000602490293211943
574,4,0.000267773463649752
575,4,0.000267773463649752
576,5,0.00033471682956219
577,9,0.000602490293211943
578,7,0.000468603561387067
579,5,0.00033471682956219
580,5,0.00033471682956219
581,5,0.00033471682956219
582,6,0.000401660195474628
583,5,0.00033471682956219
584,4,0.000267773463649752
585,4,0.000267773463649752
586,7,0.000468603561387067
587,7,0.000468603561387067
588,8,0.000535546927299505
589,4,0.000267773463649752
590,8,0.000535546927299505
591,8,0.000535546927299505
592,2,0.000133886731824876
593,5,0.00033471682956219
594,5,0.00033471682956219
595,4,0.000267773463649752
596,2,0.000133886731824876
597,5,0.00033471682956219
598,8,0.000535546927299505
599,5,0.00033471682956219
600,4,0.000267773463649752
601,7,0.000468603561387067
602,8,0.000535546927299505
603,3,0.000200830097737314
604,7,0.000468603561387067
605,7,0.000468603561387067
606,2,0.000133886731824876
607,5,0.00033471682956219
608,5,0.00033471682956219
609,5,0.00033471682956219
610,8,0.000535546927299505
611,7,0.000468603561387067
612,3,0.000200830097737314
613,4,0.000267773463649752
614,8,0.000535546927299505
615,8,0.000535546927299505
616,7,0.000468603561387067
617,3,0.000200830097737314
618,2,0.000133886731824876
619,10,0.000669433659124381
620,3,0.000200830097737314
621,5,0.00033471682956219
622,7,0.000468603561387067
623,3,0.000200830097737314
624,3,0.000200830097737314
625,2,0.000133886731824876
626,4,0.000267773463649752
627,4,0.000267773463649752
628,1,6.69433659124381e-05
629,6,0.000401660195474628
630,4,0.000267773463649752
631,4,0.000267773463649752
632,3,0.000200830097737314
633,8,0.000535546927299505
634,10,0.000669433659124381
635,4,0.000267773463649752
636,6,0.000401660195474628
637,13,0.000870263756861695
638,5,0.00033471682956219
639,8,0.000535546927299505
640,3,0.000200830097737314
641,5,0.00033471682956219
642,6,0.000401660195474628
643,2,0.000133886731824876
644,8,0.000535546927299505
645,5,0.00033471682956219
646,1,6.69433659124381e-05
647,4,0.000267773463649752
648,8,0.000535546927299505
649,8,0.000535546927299505
650,4,0.000267773463649752
651,7,0.000468603561387067
652,8,0.000535546927299505
653,3,0.000200830097737314
654,2,0.000133886731824876
655,2,0.000133886731824876
656,6,0.000401660195474628
657,1,6.69433659124381e-05
658,9,0.000602490293211943
659,5,0.00033471682956219
660,7,0.000468603561387067
661,1,6.69433659124381e-05
662,3,0.000200830097737314
663,7,0.000468603561387067
664,6,0.000401660195474628
665,4,0.000267773463649752
666,9,0.000602490293211943
667,4,0.000267773463649752
668,9,0.000602490293211943
669,9,0.000602490293211943
670,6,0.000401660195474628
671,5,0.00033471682956219
672,2,0.000133886731824876
673,9,0.000602490293211943
674,2,0.000133886731824876
675,2,0.000133886731824876
676,8,0.000535546927299505
677,6,0.000401660195474628
678,5,0.00033471682956219
679,8,0.000535546927299505
680,10,0.000669433659124381
681,9,0.000602490293211943
682,4,0.000267773463649752
683,5,0.00033471682956219
684,8,0.000535546927299505
685,7,0.000468603561387067
686,3,0.000200830097737314
687,6,0.000401660195474628
688,3,0.000200830097737314
689,6,0.000401660195474628
690,4,0.000267773463649752
691,7,0.000468603561387067
692,4,0.000267773463649752
693,5,0.00033471682956219
694,4,0.000267773463649752
695,8,0.000535546927299505
696,5,0.00033471682956219
697,7,0.000468603561387067
698,2,0.000133886731824876
699,2,0.000133886731824876
700,6,0.000401660195474628
701,6,0.000401660195474628
702,6,0.000401660195474628
703,7,0.000468603561387067
704,5,0.00033471682956219
705,2,0.000133886731824876
706,4,0.000267773463649752
707,7,0.000468603561387067
708,5,0.00033471682956219
709,6,0.000401660195474628
710,9,0.000602490293211943
711,2,0.000133886731824876
712,2,0.000133886731824876
713,5,0.00033471682956219
714,6,0.000401660195474628
715,5,0.00033471682956219
716,6,0.000401660195474628
717,7,0.000468603561387067
718,4,0.000267773463649752
719,7,0.000468603561387067
720,5,0.00033471682956219
721,2,0.000133886731824876
722,6,0.000401660195474628
723,2,0.000133886731824876
724,5,0.00033471682956219
725,5,0.00033471682956219
726,3,0.000200830097737314
727,6,0.000401660195474628
728,4,0.000267773463649752
729,11,0.000736377025036819
730,6,0.000401660195474628
731,5,0.00033471682956219
732,5,0.00033471682956219
733,8,0.000535546927299505
734,4,0.000267773463649752
735,3,0.000200830097737314
736,4,0.000267773463649752
737,7,0.000468603561387067
738,10,0.000669433659124381
739,6,0.000401660195474628
740,3,0.000200830097737314
741,4,0.000267773463649752
742,7,0.000468603561387067
743,6,0.000401660195474628
744,10,0.000669433659124381
745,2,0.000133886731824876
746,3,0.000200830097737314
747,3,0.000200830097737314
748,8,0.000535546927299505
749,5,0.00033471682956219
750,5,0.00033471682956219
751,8,0.000535546927299505
752,2,0.000133886731824876
753,4,0.000267773463649752
754,7,0.000468603561387067
755,6,0.000401660195474628
756,2,0.000133886731824876
757,8,0.000535546927299505
758,5,0.00033471682956219
759,6,0.000401660195474628
760,5,0.00033471682956219
761,4,0.000267773463649752
763,7,0.000468603561387067
764,6,0.000401660195474628
765,2,0.000133886731824876
766,6,0.000401660195474628
767,4,0.000267773463649752
768,6,0.000401660195474628
769,10,0.000669433659124381
770,1,6.69433659124381e-05
771,4,0.000267773463649752
772,9,0.000602490293211943
773,10,0.000669433659124381
774,5,0.00033471682956219
775,3,0.000200830097737314
776,3,0.000200830097737314
777,5,0.00033471682956219
778,6,0.000401660195474628
779,8,0.000535546927299505
780,3,0.000200830097737314
781,7,0.000468603561387067
782,3,0.000200830097737314
783,4,0.000267773463649752
784,7,0.000468603561387067
785,5,0.00033471682956219
786,5,0.00033471682956219
787,4,0.000267773463649752
788,4,0.000267773463649752
789,3,0.000200830097737314
790,3,0.000200830097737314
791,4,0.000267773463649752
792,3,0.000200830097737314
793,3,0.000200830097737314
794,4,0.000267773463649752
795,4,0.000267773463649752
796,3,0.000200830097737314
797,6,0.000401660195474628
798,12,0.000803320390949257
799,7,0.000468603561387067
800,8,0.000535546927299505
801,3,0.000200830097737314
802,2,0.000133886731824876
803,4,0.000267773463649752
804,2,0.000133886731824876
805,2,0.000133886731824876
806,4,0.000267773463649752
807,9,0.000602490293211943
808,5,0.00033471682956219
809,4,0.000267773463649752
810,3,0.000200830097737314
811,5,0.00033471682956219
812,5,0.00033471682956219
813,5,0.00033471682956219
814,8,0.000535546927299505
815,3,0.000200830097737314
816,3,0.000200830097737314
817,10,0.000669433659124381
818,6,0.000401660195474628
819,4,0.000267773463649752
820,3,0.000200830097737314
821,7,0.000468603561387067
822,7,0.000468603561387067
823,6,0.000401660195474628
824,4,0.000267773463649752
825,5,0.00033471682956219
826,6,0.000401660195474628
827,4,0.000267773463649752
828,5,0.00033471682956219
829,3,0.000200830097737314
830,3,0.000200830097737314
831,4,0.000267773463649752
832,6,0.000401660195474628
833,3,0.000200830097737314
834,7,0.000468603561387067
835,7,0.000468603561387067
836,9,0.000602490293211943
837,6,0.000401660195474628
838,4,0.000267773463649752
839,6,0.000401660195474628
840,5,0.00033471682956219
841,3,0.000200830097737314
842,3,0.000200830097737314
843,6,0.000401660195474628
844,8,0.000535546927299505
845,5,0.00033471682956219
846,1,6.69433659124381e-05
847,5,0.00033471682956219
848,2,0.000133886731824876
849,5,0.00033471682956219
850,3,0.000200830097737314
851,4,0.000267773463649752
852,7,0.000468603561387067
853,6,0.000401660195474628
854,7,0.000468603561387067
855,2,0.000133886731824876
856,9,0.000602490293211943
857,4,0.000267773463649752
858,7,0.000468603561387067
859,4,0.000267773463649752
860,5,0.00033471682956219
861,6,0.000401660195474628
862,5,0.00033471682956219
863,4,0.000267773463649752
864,6,0.000401660195474628
865,6,0.000401660195474628
866,6,0.000401660195474628
867,1,6.69433659124381e-05
868,3,0.000200830097737314
869,1,6.69433659124381e-05
870,7,0.000468603561387067
871,5,0.00033471682956219
872,3,0.000200830097737314
873,5,0.00033471682956219
874,5,0.00033471682956219
875,7,0.000468603561387067
876,4,0.000267773463649752
877,4,0.000267773463649752
879,3,0.000200830097737314
880,6,0.000401660195474628
881,6,0.000401660195474628
882,4,0.000267773463649752
883,4,0.000267773463649752
884,6,0.000401660195474628
885,4,0.000267773463649752
886,6,0.000401660195474628
887,5,0.00033471682956219
888,6,0.000401660195474628
889,3,0.000200830097737314
890,1,6.69433659124381e-05
891,4,0.000267773463649752
892,4,0.000267773463649752
893,1,6.69433659124381e-05
894,2,0.000133886731824876
895,4,0.000267773463649752
896,4,0.000267773463649752
897,4,0.000267773463649752
898,4,0.000267773463649752
899,4,0.000267773463649752
900,3,0.000200830097737314
901,5,0.00033471682956219
902,2,0.000133886731824876
903,6,0.000401660195474628
904,5,0.00033471682956219
905,5,0.00033471682956219
906,2,0.000133886731824876
908,2,0.000133886731824876
909,7,0.000468603561387067
910,8,0.000535546927299505
911,3,0.000200830097737314
912,2,0.000133886731824876
913,5,0.00033471682956219
914,4,0.000267773463649752
915,5,0.00033471682956219
916,9,0.000602490293211943
917,3,0.000200830097737314
918,4,0.000267773463649752
919,4,0.000267773463649752
920,5,0.00033471682956219
921,5,0.00033471682956219
922,2,0.000133886731824876
923,4,0.000267773463649752
924,3,0.000200830097737314
925,5,0.00033471682956219
926,6,0.000401660195474628
927,1,6.69433659124381e-05
928,3,0.000200830097737314
929,5,0.00033471682956219
930,3,0.000200830097737314
932,2,0.000133886731824876
933,9,0.000602490293211943
934,6,0.000401660195474628
935,6,0.000401660195474628
936,6,0.000401660195474628
937,4,0.000267773463649752
938,7,0.000468603561387067
939,4,0.000267773463649752
940,4,0.000267773463649752
941,6,0.000401660195474628
942,1,6.69433659124381e-05
943,2,0.000133886731824876
944,3,0.000200830097737314
945,2,0.000133886731824876
946,5,0.00033471682956219
947,1,6.69433659124381e-05
948,5,0.00033471682956219
949,4,0.000267773463649752
950,7,0.000468603561387067
951,7,0.000468603561387067
952,2,0.000133886731824876
953,2,0.000133886731824876
954,5,0.00033471682956219
955,4,0.000267773463649752
956,5,0.00033471682956219
957,7,0.000468603561387067
958,3,0.000200830097737314
959,3,0.000200830097737314
960,4,0.000267773463649752
961,5,0.00033471682956219
962,6,0.000401660195474628
963,3,0.000200830097737314
964,9,0.000602490293211943
965,3,0.000200830097737314
966,3,0.000200830097737314
967,3,0.000200830097737314
968,3,0.000200830097737314
969,5,0.00033471682956219
970,6,0.000401660195474628
971,6,0.000401660195474628
972,1,6.69433659124381e-05
973,3,0.000200830097737314
974,2,0.000133886731824876
975,6,0.000401660195474628
976,5,0.00033471682956219
977,2,0.000133886731824876
978,2,0.000133886731824876
979,2,0.000133886731824876
980,6,0.000401660195474628
981,5,0.00033471682956219
982,2,0.000133886731824876
983,2,0.000133886731824876
984,3,0.000200830097737314
985,2,0.000133886731824876
986,1,6.69433659124381e-05
987,6,0.000401660195474628
988,3,0.000200830097737314
990,6,0.000401660195474628
992,2,0.000133886731824876
993,3,0.000200830097737314
994,5,0.00033471682956219
995,3,0.000200830097737314
996,3,0.000200830097737314
997,3,0.000200830097737314
998,3,0.000200830097737314
999,3,0.000200830097737314
1000,3,0.000200830097737314
1001,7,0.000468603561387067
1002,5,0.00033471682956219
1003,5,0.00033471682956219
1004,5,0.00033471682956219
1005,4,0.000267773463649752
1006,3,0.000200830097737314
1007,5,0.00033471682956219
1008,3,0.000200830097737314
1009,7,0.000468603561387067
1010,5,0.00033471682956219
1011,4,0.000267773463649752
1012,7,0.000468603561387067
1013,7,0.000468603561387067
1014,3,0.000200830097737314
1018,3,0.000200830097737314
1019,3,0.000200830097737314
1020,6,0.000401660195474628
1021,3,0.000200830097737314
1022,4,0.000267773463649752
1023,3,0.000200830097737314
1024,8,0.000535546927299505
1025,2,0.000133886731824876
1026,4,0.000267773463649752
1027,2,0.000133886731824876
1028,4,0.000267773463649752
1029,9,0.000602490293211943
1030,4,0.000267773463649752
1031,3,0.000200830097737314
1032,5,0.00033471682956219
1033,1,6.69433659124381e-05
1034,5,0.00033471682956219
1035,4,0.000267773463649752
1036,4,0.000267773463649752
1037,1,6.69433659124381e-05
1038,4,0.000267773463649752
1039,5,0.00033471682956219
1040,3,0.000200830097737314
1041,5,0.00033471682956219
1042,1,6.69433659124381e-05
1043,4,0.000267773463649752
1044,8,0.000535546927299505
1045,5,0.00033471682956219
1046,6,0.000401660195474628
1047,12,0.000803320390949257
1048,3,0.000200830097737314
1049,5,0.00033471682956219
1051,2,0.000133886731824876
1052,5,0.00033471682956219
1053,4,0.000267773463649752
1054,4,0.000267773463649752
1055,9,0.000602490293211943
1056,1,6.69433659124381e-05
1057,5,0.00033471682956219
1058,5,0.00033471682956219
1059,5,0.00033471682956219
1060,2,0.000133886731824876
1061,4,0.000267773463649752
1062,4,0.000267773463649752
1063,4,0.000267773463649752
1064,5,0.00033471682956219
1065,4,0.000267773463649752
1066,5,0.00033471682956219
1067,6,0.000401660195474628
1068,1,6.69433659124381e-05
1069,8,0.000535546927299505
1070,3,0.000200830097737314
1071,4,0.000267773463649752
1073,6,0.000401660195474628
1074,8,0.000535546927299505
1076,4,0.000267773463649752
1077,6,0.000401660195474628
1078,2,0.000133886731824876
1079,4,0.000267773463649752
1080,7,0.000468603561387067
1082,5,0.00033471682956219
1083,2,0.000133886731824876
